Version;SupportBegin;SupportEnd
0.1.17;2025-05-25T00:00:00;2027-08-24T00:00:00
0.1.18;2025-06-26T00:00:00;2027-09-25T00:00:00
0.1.19;2025-10-16T00:00:00;2027-01-15T00:00:00
0.1.20;2026-04-06T00:00:00;2027-07-06T00:00:00
1.0.1;2026-09-15T00:00:00;2027-12-15T00:00:00
